UnderlyingSymbol,UnderlyingPrice,Expiration,Strike,Ask,
ALKS,20.98,43784,35,0.2,1.131135029
ALKS,20.98,43784,36,0.15,1.128904735
ALKS,20.98,43784,37,0.15,1.111588818
ALKS,20.98,43784,38,0.1,1.087200763
ALKS,20.98,43784,39,0.1,1.082524645
ALKS,20.98,43784,40,0.1,1.052458369
ALKS,20.98,43784,41,0.1,1.071121074
ALKS,20.98,43784,42,0.1,1.022769088
ALKS,20.98,43784,43,0.1,1.02575074
ALKS,20.98,43784,44,0.05,1.004715873
ALKS,20.98,43784,45,0.05,1.023602286
ALKS,20.98,43784,46,0.05,1.012609373
ALKS,20.98,43784,47,0.05,1.008449892
ALKS,20.98,43784,48,0.05,1.016447451
ALKS,20.98,43784,49,0.05,1.019108727
ALKS,20.98,43784,50,0.05,1.024673796
