UnderlyingSymbol,UnderlyingPrice,Expiration,Strike,Ask,
AMAG,10.92,43728,2,10,0.901357247
AMAG,10.92,43728,18,0.3,1.081451705
AMAG,10.92,43728,19,0.25,1.024059766
AMAG,10.92,43756,18,0.25,1.1081201
AMAG,10.92,43756,19,0.3,1.025601546
AMAG,10.92,43756,20,0.5,0.97517558
AMAG,10.92,43784,16,2.3,1.069531653
AMAG,10.92,43784,17,0.65,1.231881268
AMAG,10.92,43784,18,2.3,0.865888908
AMAG,10.92,43784,19,2.2,0.85835154
AMAG,10.92,43784,20,0.4,0.988658646
AMAG,10.92,43784,21,0.35,0.984299229
AMAG,10.92,43784,22,2.15,1.198304286
AMAG,10.92,43784,23,0.15,1.067581621
AMAG,10.92,43784,24,0.3,1.179490812
AMAG,10.92,43784,25,0.2,1.177491562
AMAG,10.92,43882,17,1,1.04926144
AMAG,10.92,43882,18,0.9,1.051789834
AMAG,10.92,43882,19,0.7,0.994138333
AMAG,10.92,43882,20,0.6,0.987691528
AMAG,10.92,43882,21,0.55,0.974339397
AMAG,10.92,43882,22,0.45,1.144060855
AMAG,10.92,43882,23,0.4,1.178726283
